model,type,review
S12 Pro,内置程序,用户表示1、其多次在vivo社区反馈手机相关问题（比如手机系统更新比较停滞、小窗功能比较另类），但一直无人回应，没有官方人员回复其，也不知道公司是否会采集、采纳，其对此不满，现其希望安排相关人员在vivo社区主页查看其反馈的相关问题、最起码要有个信息采集（其vivo社区的ID为：雪非亦流，是一个动漫头像）。2、其表示在S12Pro的应用商店里面搜索一些关键词会出现不相关的软件推荐，比如搜索“视频”会出现一些和性相关的东西，比如聊天交友、同城交友，其表示同种情况在iQOO手机上面没有，其表示vivo吃相未免太难看了（用户原话），而且前面的搜索结果都是和搜索无关的东西，其表示不知道vivo是不是想再上一次315晚会。其对此不满，烦请关注。
S12 Pro,性能赛道,机器出现使用抖音卡顿的现象，于3.24亲自机器送到武汉市洪山区珞喻路光谷步行街客户服务点检测（经确认，是公司售后服务中心），被告知机器无硬件问题，需要其上传异常数据，来电对售后处理方案不满，来电要求公司协助退机。
S12 Pro,内置程序,机器购买出现充电口上面有很多灰尘，盒子里面也有头发，看网页转圈，视频画面很模糊，通话声音也特别小的现象，表示现在今天是第四天，现在售后（河西和天津市）也是疫情，无法去检测，来电希望协助处理。
S12 Pro,内置程序,机器出现抖音闪退，信号不好，自带健康APP计步断线的问题，来电投诉。
S12 Pro,内置程序,用户来电表示NFC读取身份证。工作上用的软件在新的手机上不能使用，乙人公司，回收废水的。打开软件靠近这个功能NFC不能读取。其表示之前使用华为手机都能够直接跳出来。
S12 Pro,内置程序,用户昵称：嗯哼用户地址：江苏省扬州市邗江区翠岗路102号回复时限：/反馈内容：用户通过官网APP来访表示手机自己拨打了110电话，还给家里人打了很多电话，自己有设置紧急呼叫，但手机离很远，没有触发，客服安抚致歉，告知为其记录反馈，用户强烈要求10点前回复，客服未回复，已建品质单，后续添加品质单号反馈人：夏琳反馈平台：官网APP
S12 Pro,内置程序,机器通话对方听不见声音、输入法异常等，于4月2日亲自将机器带至河北唐山迁安市售后检测，被告知需要实时录制问题视频才能换机，其表示自己有录制3个问题视频，但是售后要求必须本机录制，来电表示不满，要求公司协助处理。送修预留号码：189***6606
S12 Pro,性能赛道,机器需要贴膜，今日官网查看贴膜地方前往黑龙江省大庆市肇州县八场东路33号，被告知因为疫情原因高清膜没有了，可以给其贴钢化膜，其不接受，表示不能什么都推给疫情，且八场东路150网点的停业了，两个网点都不能给其贴膜，其不接受，来电希望公司协助处理。
S12 Pro,内置程序,机器出现状态栏界面时间显示一半，充电有时不快充，卡顿等问题，用户联系购买点，结果购买点不管也不理他，现来电投诉门店（兰州市七里河区兰州中心外面的vivo体专店），投诉该门店只管销售，手机销售出去后一概不管，并且希望公司协助其处理好机器问题。
S12 Pro,性能赛道,机器出现通话声音时大时小、手机打游戏掉帧严重的现象。机器在山西省运城市临猗县府东街道购买，购买点要求其去售后服务中心检测，目前机器在山西省运城市临猗县，因售后服务中心因疫情影响暂停营业，不方便处理，来电希望公司协助处理在线下门店换机处理。
S12 Pro,内置程序,用户来电表示手机被提前激活了3个月，想要修改激活时间以及延保时间，来电希望公司协助处理。购买点：云南省保山市龙陵县龙山镇立丰通讯
S12 Pro,性能赛道,机器之前出现联系车载很卡顿的现象，通过官网寄修到售后（安徽省滁州市琅琊区）检测处理好了，现在又出现手机微信闪退几分钟都打不开的现象，正常排除，其表示希望可以换机，来电希望协助处理。售后预留电话：152***3107
S12 Pro,内置程序,用户来电反馈购机一个月出现企业微信打开卡顿、进入相机黑屏打不开相机、更换主题今日出现电池图标无变化特效显示，用户地址：广东省中山市沙溪，希望公司协助处理。
S12 Pro,内置程序,手机出现升级后没有滑切换应用这个功能来电表示不满，要求公司协助处理，用户在贵州省毕节市。备注：坐席通过云真机查看有该功能，现场试用机查看无该功能，现场手机和用户版本一致imei码：***************、问题现象及复现步骤：升级后手机没有滑切换应用这个功能3、系统版本号：PD2163-a-1.11.94、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）：5、Log提取码：6、服务码（没有就不填写）：7、抓Log时问题出现时间点(精确到分)：8、服务码(没有就不填写)：9、是否有承诺回复（承诺回复需备注回复时间）：3-5个工作日
S12 Pro,续航赛道,机器耗电快，其在普洱市墨江县，离售后远不方便寄修。提供抓取异常数据方法，其担心时间长超过退机期。来电希望公司协助退机。
S12 Pro,续航赛道,用户昵称：vivo768***2030用户地址：庐江县反馈内容：用户来访表示每次前往服务中心贴膜都用不了几天，来回费金钱又费时间，引导其与服务中心协商是否可以邮寄，其不同意表示自己贴不好，要求补贴。告知为其反馈，其同意并正常挂断。劳烦协助处理，谢谢。反馈平台：官网app反馈人：彭小莉
S12 Pro,内置程序,用户表示新机出现5/3陌生截图，其是在2022/5/4在辽宁省阜新市街心广场南侧凯龙智能世界购买的机器，5/5激活的手机。表示新激活的手机不应该有陌生图片，这个图片不是其本人的，有开具购机凭证。来电要去给其处理。
S12 Pro,内置程序,"问题现象：桌面不能进入,点击桌面没有反应，目前只有通知栏可正常运用（接收消息，或来电显示）机型：S12ProIMEI：***************系统版本号：PD2163-A-1.11.9"
S12 Pro,发热赛道,机器出现耗电快，一天三充，手机玩一个小时就发热，手机拍照偏暗，发红的问题。手机是在浙江省宁波市鄞州区朝晖路188号中国电信营业厅购机，其联系购买点要求换机，购买点不给其换机，购买点让其自己去售后检测，其不愿，表示凭什么要自己去跑，自己旁边就有个售后，要是手机店的人拿去检测怀疑做手脚，自己一个人也是不会去检测的，要求门店的人和其一起去售后检测，卖手机的工作人员态度不好，语气不好，卖完手机就翻脸不认人，现来电要求给其换机。
S12 Pro,发热赛道,手机在线下江苏省昆山市高新区玉山镇南星渎中国营业厅购买2022/5/7号上午十一点购买，刚购买的手机有发热发烫的情况，充电器一天出现两次发烫耗电快，并且当初在线下购买的时候手机是被打开过的，拿到购买点，购买点让其联系售后检测，但是目前用户当地售后音疫情未上班，建议用户等待疫情结束在前往其不愿意，用户的要求要么退机要么换机手机条码：***************
S12 Pro,性能赛道,四月十几号在线下购机，手机信号差，使用非常缓慢，比旧手机速度都慢，下载软件都要半个小时，听音乐都很卡，连接无线使用速度也比不上其他手机；四月二十几号到店铺更换了新手机，观察使用还是同样的情况，非常影响其的体验，家里有三四部vivo手机都不这样，现要求退机退款；IMEI：***************购买店铺：广东省江门市蓬江区vivo体验店（里面有售后）
S12 Pro,发热赛道,机器视频电话发热明显问题，手机是家人在使用，半个月前通过购买点寄至售后（不清楚地址，河北石家庄）处理，售后检测是有发热问题，给其换机处理，1.2天就返回给其了，但是疫情原因，前两天才拿到，但是还是一样的发热情况，来电要求公司协助处理。购买点：河北邯郸市广平县双李大厦往东200米煜航手机专卖店预留电话：136***7304
S12 Pro,内置程序,用户名：踏实鸡蛋去打羽毛球回复时限：2022-05-1520:25:29之前用户地址：卡兰斯酒店(重庆江北国际机场渝北广场地铁站店)品质工单编号：TSNXCN-2022051300198反馈内容：用户来访表示自己在官网购买的手机无法发送短信，为其排查无效，引导前往服务中心，其表示已经去过了，没有解决该问题，引导其抓取log，为其建单，其表示担心购买到残次品，表示如果是残次品，要求赔钱或者换机，不行就打消费者协会投诉，安抚其告知为其反馈，承诺48小时内回复。烦请跟进谢谢。反馈平台：vivo官网反馈人：高祥
S12 Pro,发热赛道,A、机型、条码：S12Pro***************B、购买时间：2022月5月9日C、描述使用环境：昨天（2022年5月13日）用原装充电器，充了几分钟就开始发热，十几分之后就开始滚烫，充电完成结束后发现充电器发黑D、是否有进液摔损拆修：无E、人员受伤、物品损失情况：未提及F、具体地点：湖南长沙市长沙县
S12 Pro,内置程序,因刚刚需要录制微信的听筒语音播放消息，提示隐私无法录制，其对此不接受，之前都是可以正常使用的，为什么要去限制微信的功能，既然担心泄露用户的隐私那获取用户的信息干什么，其表示这个功能无法正常使用，其就要求退机。目前在广东省汕头市PD2163_A_1.11.9
S12 Pro,内置程序,机器出现观看视频模糊的现象，于2022年4月具体寄修时间忘记，通过购买点将机器送到石家庄市桥西区天佑家园检测，此间用户仅接到一个来电，询问机器情况，手机于售后，一个月了一直无人联系，来电要求公司协助其处理机器问题，因为手机当前处于新机购入不满一个月满足换机期，需要尽快给其换机后寄至其手中，同时反馈其当前使用的旧机x20电池鼓起、作为备用机也害怕存在安全隐患。预留手机：150***3638
S12 Pro,发热赛道,其来表示手机出现在摄像的时候很烫手，之前在4.16号寄修手机到售后（寄修手机号：136***7304用户位置：河北省邯郸市广平县），售后为其检测更换新机受理了，目前手机在5.12号签收，现在手机还是出现同样的问题，其表示退机处理，告知换机三包重新计算，可带至当地检测，其表示公司当地因为疫情快递也已经停运，后告知记录反馈核实，约定48h内回复挂机。
S12 Pro,发热赛道,TS2022050800070用户来电表示手机充电发热，今天带至售后检测正常（预留手机号183***3481），表示售后检测只充电几分钟测不出问题，售后建议把手机电量消耗完再充电测试，其表示没有这么多时间，担心机器后续使用出现安全问题，强烈要求换机，希望公司协助处理。
S12 Pro,性能赛道,机器出现死机卡屏闪退黑屏的现象，于2022年5月16日时间亲自送到信阳市浉河区新华路客户服务中心检测（经确认，确定是公司售后服务中心），被告知给其换主板，来电对售后处理方案不满，来电要求公司协助换新机。不接受换主板和维修和抓数据，目前用户只接受换新机。要求今天5点回复，如果一拖再拖我会一直来电投诉售后预留电话：159***2095
S12 Pro,内置程序,用户昵称：未登录用户用户地址：陕西省渭南市富平县回复时限：承诺48小时（2022-05-208:49:42之前）反馈内容：用户反馈S12Pro微信，QQ很多特殊符号不显示，以前的X23幻彩版就显示，表示自己是做抖音网名这些符号对我来说很重要的，有的空白直接显示一个方，还有做图软件，和X23幻彩版显示也有很多差别。常规排查，引导抓取log，表示不懂，根据其提供的截图建无log品质单（TSNXCN-2022051800022），也不方便在服务中心检测处理或者寄修处理。告知为其反馈，工作人员会尽快联系其，麻烦跟进一下，谢谢反馈平台：官网app反馈人：杨明明
S12 Pro,发热赛道,手机出现发烫，电量跳变的现象，今天将手机送至陕西咸阳市渭城区乐育北路4号中侨广场售后检测（不确定是指定售后），售后检测换机处理，调货需要3-4天，现用户来电希望帮其反馈售后，要当着其新机面拆包装，不要提前拆。预留手机号：170***0111
S12 Pro,内置程序,用户名：羊宝儿售后地址：河北邯郸君兴大厦用户地址：河北邯郸反馈内容：用户来访表示手机有残影，前往过服务中心检测，服务中心表示没有收到其他反馈，后又表示服务中心的工作人员描述是正常的，屏幕特性问题，用户认为是质量问题，表示不满，表示去检测，维修师傅承认产品有软件问题，屏幕有残影，视频为证，后经工厂检测，5-10服务中心的工作人员致电：表示目前该型号手机均出现此现象，属屏幕特性，短时间内无法解决。服务中心建议：1、更换颜色鲜艳壁纸，手机屏幕调亮，2、进行退机，但需要包装，否则扣30元左右（疫情无法取得包装，该手机质量问题造成退机，费用应店家承担），3、换机，更换同等价位或高价位补差价，在售后进行，4。更换低价位需自行去购买手机的卖场自行协商，售后不负责，现在要求：1、进行一定补/赔偿并无条件退机；2、更换其他无此“特性”的手机，价位高出该手机其不补差价，低于退还其差价。表示不要服务中心联系其，如果没有解决方案不要联系其，告知为其备注，中途有更换过手机，4月27日左右购买的手机，5月2日在服务中心更换的手机，告知为其反馈，未承诺回复时间，请协助处理，谢谢反馈平台：官网app反馈人：李青青
S12 Pro,内置程序,机器出现软件不兼容的现象，机器在河南省新乡市获嘉县获嘉城关店进行购买，发现软件不兼容的情况下5月17日联系工作人员答应可以进行换货处理，2022-5-20日前往，其店员告知换机需要按照降价后的价钱补购，其不接受，来电希望公司协助处理，希望自己手机购买的价格来进行补差价换购，不接受降价后的价格补购。
S12 Pro,性能赛道,因机器才购买几天，在打开页面点击返回就没有反应，打字也是没有反应，触屏不灵敏，耗电快，其要求退机，要买其他的品牌，要求公司直接给其联系处理。目前在江西省宜春市万载县
S12 Pro,发热赛道,用户姓名：先生用户电话：182***9131机器型号:S12Pro(12+256)机器IMEI：***************反馈地区：昆明市昆师路服务中心反馈渠道：经销商（昆明市呈贡区迪信通）人员受伤：手指轻微烫伤（无需到医院）财产损失：无用户需求：更换同价位新机器；故障现象：屏幕中段受挤压变形严重，中框断裂、电池短路燃烧；处理进度/方案：已提供补屏幕差价820元更换一台同型号的机器，用户同意，调机器中；用户反馈情况：5月19日15:30用户在昆明市呈贡区兴景逸园充电网游戏发热，然后将手机扔至门外。信息反馈目的：需要工厂初步分析
S12 Pro,发热赛道,用户来电反馈机器于前天购机，出现充电发烫，电量消耗太快，上午八点充满电到中午十二点就没有电量了，5/22日亲在带至售后检测（经核实，是官方售后）未给其解决，且工作人员的态度恶劣，对工作人员的服务非常不满，要求给其更换其他款的机器，补差价都可以，希望公司协助处理。售后预留手机号：152***7610
S12 Pro,发热赛道,机器出现发烫发热的现象，于2022/4/11时间亲自将机器送到江西新余市渝水区胜利北路客户服务中心检测（经确认，是公司售后服务中心），被告知机器无问题，来电对售后处理方案不满，来电要求公司协助处理，要求退机。手机：188***6288用户地址：广东东莞
S12 Pro,发热赛道,用户名：鱼塘自由服务中心地址:睢宁县八一东路客服中心反馈内容：用户来访表示新买的手机充电时发热，视频时发烫，是不是你们这一批的产品都有问题，同事也是刚买，他的也烫，这才刚入夏就达到40度，那到了7.8月份手机不就会裂开了，我刚到手后发现问题就开始找客服，后来因为疫情原因，服务中心关了，到现在都3个月了还是这样，客服为其提供减少发热的方法，其不接受，表示已经在服务中心检测过了，服务中心给出的处理方案是可以为其更换主板，用户不认可，说我才买的新手机凭什么要拆机，我的要求是换机，再次建议其考虑服务中心的方案，其表示如果换了还是有问题呢，算我倒霉吗?花了比别人多的钱买了一个拆过的机子吗?表示没有解决问题我只能打电话投诉你们这一批机子了，一充电就热，那夏天在车里充电还不得裂开，我凭什么拿自己的命来试，安抚致歉，告知为其反馈，烦请协助处理反馈平台：官网app反馈人：李秋月
S12 Pro,内置程序,用户昨天晚上在安徽马鞍山市花山区解放路2号（苏宁易购）购买了一部S12pro机器，回家之后发现手机卡托位置有划痕，今天前往店铺要求退机，店铺不给退，店铺将照片发给了马鞍山市花山区湖东中路客户服务中心工作人员，工作人员告知不符合退换条件，来电要求公司协助处理。
S12 Pro,发热赛道,用户来电，25号在（安徽省合肥市肥西县，三河镇移动营业厅）买的手机，现在看视频或者语音通话都会发热，拍照也有雪花，建议通过异常检测，其说不方便，建议亲自售后检测或者寄修其都不接受，说之前在购买的时候，店员告知这个机器只有一个颜色，并且说手机不是全新开封给其的，要求退换机。
S12 Pro,性能赛道,用户来电反馈机器购机一个多月出现三次玩王者荣耀卡顿、机器按键没有作用，于5/18日左右带至售后检测（经核实，是官方售后）告知机器没有问题建议其抓取数据反馈公司总部，前天有工作人员通过400热线联系其询问机器是否再次出现该问题，其表示没有，工作人员告知再次出现问题后反馈；其现在强烈要求换机，希望公司协助处理。
S12 Pro,内置程序,用户来电其手机购买的新手机遇到了，1.免提声音比较小；2.视频铃声是必须要掏钱购买，并且没有自己想要的视频铃声，其表示非常不接受，要求公司给其直接退机处理。
S12 Pro,性能赛道,机器出现频繁死机的现象，表示不动的情况下也会出现，正常排查，建议可先更新系统尝试，必要时可清除数据以及前往售后，其表示在3、4月时有亲自前往过甘肃省嘉峪关市镜铁区新华南路的售后服务中心检测说给其更换主板，其不接受，表示手机才买几个月就需要更换主板吗？来电希望公司协助处理。预留号码：180***5353
S12 Pro,内置程序,机器出现看微信小视频出现黑屏的现象，于4月30号时间亲自将机器送到江苏省徐州市沛县售后服务中心检测（经确认，不确定是公司售后服务中心），被告知机器没有问题，但机器一直有这个问题，现在又出现快手、抖音闪退，手机无法录制屏幕，电池图标颜色显示灰色。来电要求公司协助处理。
S12 Pro,内置程序,其他第三方软件;imei码：*** 1、问题现象及复现步骤：上个月购机抖音、快手等视频软件看了一半就再也无法加载出来 2、问题出现地点（*市*区*路几号楼或者*大夏）：四川省眉山市彭山区公义镇 3、SIM卡组合：移动 4、数据卡是哪张卡：移动 5、出问题时驻留的网络（5G/HD、4G/HD、4G、4G+、3G、2G）：4G/HD 6、系统版本号： 7、问题出现次数：必现/一天多次/很难复现（低概率难复现无需建单）：必现 8、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）：已和Log一起上传 9、服务码（没有就不填写）10、抓Log时问题出现时间点(精确到分)11、是否有承诺回复（承诺回复需备注回复时间）：
S12 Pro,性能赛道,麻烦您先看一下之前的聊天记录;嗯，我上传有视频，麻烦您后台看一下;嗯嗯，主要问题就是4g网慢，卡顿昨天我就找客服了，完了八点左右上传的录频，麻烦您看一下;冯鹏举.134***8958，s12por 8+256，前几天给我换过手机，之前的手机也是这个问题，这个手机刚收到三天，山西长治襄垣县;产品条码在哪查询;？？？;好;MEID: A00000F183A6BA<br>IMEI1: ***<br>IMEI2: ***<br>SN : 34313131880014K;对没错;我传的录频，您可以看到吧？;麻烦您尽快，看看怎么给我解决;？？？;你看一下，这是上传完成的截图;上班钉钉都打不了，完了连别人热点，才能行;好，在同一环境下，别人问题，我就不行，我手机流量也没限速，;麻烦您好好看看昨天的聊天记录，就知道了;好.;随后会有工作人员联系我是吗？;？？？;那我结束对话了啊，麻烦您尽快给我解决
S12 Pro,内置程序,碎屏宝/延保; 查询是否有购买碎屏保 IMEI：*** 其表示当时手机店有交钱购买
S12 Pro,性能赛道,用户昵称：vivo684***2501用户地址：河南省郑州市新密米村镇反馈内容：用户于2022-06-1118:24:42通过官网app来访在线客服7560，用户表示手机网络卡顿，数据和WLAN都卡，按上网慢排查，用户表示已经前往售后几次了（郑州市新密市北密新路客户服务中心），log也抓过无效，且4号在换的新机还是卡，查询（QFM17A112205270010）log无效，引导用户再次抓取，用户不接受，要求换其他型号的机器，多了补差价。安抚解释，告知为其反馈，请协助处理，谢谢反馈平台：官网app反馈人：陈港
S12 Pro,性能赛道,"用户来电反馈其买的手机，出现了经常死机,已经前往了售后了，之前也在6月份来电询问过解决的方案，之前也建有投诉贴：TS2022060400880，被告知表示要更换主板，其表示不认可，表示3个月的手机就换主板，要求给其更换新机，不解决就打其他的投诉电话，也表示不是直接给其换机，就不要联系其了，希望公司直接提供解决方案。"
S12 Pro,性能赛道,机器出现QQ，微信卡顿，黑屏的现象，于2022.6.25时间亲自送到太原市杏花岭区胜利东街客户服务中心检测（经确认，是公司售后服务中心），被告知是QQ，微信异常，让其抓取log，目前机器无法抓取，来电要求公司协助处理机器问题。
S12 Pro,性能赛道,昨天用户于线下门店购买的新机，购机时为其贴上钢化膜，以至机器出现触屏不灵、听筒声音较小、开机键塌陷的现象，于2022年6月29日亲自将机器送到东莞市虎门镇太沙路客户服务中心检测，当前机器在售后服务中心，来电对新机出现此问题，购买点不给其换机表示不满，要求公司协助换机处理。
S12 Pro,性能赛道,机器出现反应慢、卡顿的现象，于6月28日亲自将机器送到山西省吕梁市离石区检测（经确认，是公司售后服务中心），被告知没有问题，来电对售后处理方案不满，来电要求公司协助处理。预留电话：134***4580
S12 Pro,发热赛道,机器出现发烫情况，于7月1号亲自将手机带至售后（苏州市昆山市朝阳西路客户服务中心）检测，售后检测手机温度40度，却告知其是正常的，用户现来电对售后检测结果不认可，要求公司协助将手机送至天津售后检测。
S12 Pro,性能赛道,用户昵称：zhouliyao用户地址：江西省抚州市资溪县建设路2号1单元反馈内容：用户来访表示，我买这个手机后问题反馈多次了，目前还没有反馈，我觉得是你们这款机型问题，已经不是单个机子的问题，我申请尽快给我一个解决方案，1音频延迟，视频接听也延迟，看视频声音和嘴永远对不上2拍照失真严重，天空动漫感，人物变形，曝光严重等3日历的日程添加备选也异常4手机声音也有问题，之前有建品质单（文件编号:TSNXCN-2022062800018，文件编号:TSNXCN-2022070200026）告知会帮其催促，辛苦其耐心等待，其表示昨天用了我哥的vivo他再用的是iQ系列，说性能很好，我这款主打拍照的拍照不好，性能也不好，问题更多，就连赠送的价值299的耳机用了才几天就时灵时不灵了，需要申请换其他机型，解释三包，满足条件也只能更换同型号的机型，其表示那申请退货，在官网商城购买的，表示今天是第8天，超过时间是因为等你们回消息，不是我的问题，告知为其反馈，其接受。麻烦协助处理，谢谢反馈平台：官网app反馈人：夏琳
S12 Pro,性能赛道,机器出现死机黑屏无法开机的现象，于7月10日亲自将机器送到大庆市萨尔图区会战大街140号售后检测（经确认，是公司售后服务中心），售后建议其刷机处理，不行就是硬件问题，其不接受刷机，手机里面有资料没有导出，表示售后态度也不好，来电要求公司协助退换机。售后预留电话：150***7841
S12 Pro,发热赛道,用户反馈：S12Pro打电话发热品质单：TSNXCN-2022071000059分析情况：MTK分析硬件损坏，疑似硬件问题，请协助收集机器寄回工厂。
S12 Pro,续航赛道,用户来电表示，去年12月31日购买的S12pro，手机平时没怎么使用，偶尔打打游戏，听听音乐，手机扬声器坏了，前往柳州市城中区公园路客户服务中心维修，预留号码：151***9026，售后检测告知没有配件，需要预定，今天通知配件到货，下午前往售后维修，将扬声器更换之后还是有问题，手机耗电非常快，售后检测告知需要更换主板，但是没有配件，还要等几天调配件，其表示手机都没怎么使用，现在维修了还是有问题，要求给其更换新机，来电要求公司协助处理。
S12 Pro,内置程序,别人打电话如何语音播报
S12 Pro,内置程序,可以增加双指识别吗，单指和许多app操作有冲突，影响体验
S12 Pro,内置程序,发送短信为什么总是失败
S12 Pro,发热赛道,"上网课的时候,莫名重启,发热严重"
S12 Pro,内置程序,询问之前投诉的进度，帮其核实之前反馈的问题已经反馈工程师分析中，需要3-5个工作日给其回复，其说已经过去一天了，要求24小时内回复；告知会帮其反馈催促，建议其耐心等待分析结果，其说已经去了两次售后，使用其他vivo手机都是正常的，就这部手机不能使用，售后刷机也没有办法使用，称如果检测出是手机问题就退机；售后地址：河北省邢台市桥东区（6月初），河北省石家庄市（7月初）预留手机号：136***1290（杨女士）IMEI:***************BPM单：TSNXCN-2022080200115（S12Pro使用天安双录通保险公司的软件不能使用录音录屏）
S12 Pro,发热赛道,拍视频摄像头很烫，摄像头烫拍视频就卡的很
S12 Pro,续航赛道,企业微信拍照需要点四五下拍照键才能拍上照片，会有电流的声音出现
S12 Pro,内置程序,相册里加载不出来的两百张照片没了
S12 Pro,内置程序,卡1移动号信息发不出去
S12 Pro,内置程序,虚拟号码发过来的短信太多了
