model,type,review
T2x,内置程序,我非常的喜欢这个游戏真的是无所不能的一款应用游戏，我是非常的喜欢，而且我身边的朋友都在用这个游戏，真的很好用的
T2x,性能赛道,打不开
T2x,发热赛道,来访用户名：在庞贝城聊天的机器人回复时限：/用户地址：广东深圳龙华大水坑一村反馈内容：用户称浏览网页10分钟手机严重发烫求退机换机，为其解释三包，换机需要前往售后检测，之前都是正常的，今天开始这样，其称之前来访做过异常检测升级后没有改善，系统最新版本，情绪激动一直骂人，其不愿配合排查，不愿抓取log、不愿前往服务中心也不愿意寄修，要求投诉并要我们安排人将手机拿回去，告知其会为其反馈，其同意。反馈平台：vivo官网反馈人：汪瑜娇
T2x,性能赛道,用户名：旧林用户地址：广东省潮州市潮安区古巷镇反馈内容：用户来访表示玩王者和其他的游戏卡顿、掉帧还有电流音，建议其调节画质，清理后台，重启手机、卸载重装，清除王者数据均无效，网络正常，游戏和系统都最新版本，告知其抓取log，其不愿意抓取，告知前往服务中心，表示服务中心太远无法前往，告知可以寄修，其不方便寄修，表示自己没有备用机，家人和朋友都没有备用机，告知为其反馈，未承诺回复时间，请协助处理，谢谢反馈平台：官网app反馈人：李青青
T2x,内置程序,不能取消云服务自动续费
T2x,内置程序,一键优化不能设置桌面，不方便
T2x,内置程序,为什么手机设置没有双卡和移动网络设置
T2x,内置程序,视频不能分享微信
T2x,内置程序,能不能设置一个程序，每天早上自动播报天气情况，不用客户打开手机都能知道天气问题
T2x,内置程序,甚麼時候有360車助手分身？
T2x,内置程序,字体变小，不然看着跟老年机一样
T2x,内置程序,"用户来电，表示还没有一个月手机出现问题，6月23日购买，6月26收到货，7月22日打不出去电话，8月23日拿去五华区西城时代广场检测，没有检测出问题，但是昨天的时候又出现问题，之前是wifi掉网，电话掉网，昨天屏幕会自动闪,其表示昨天网上录屏闪屏5分钟的视频，给其按照手机手机闪屏排查，其表示已经出现两三次的问题了，之前检测没有问题，检测之后再次联系告知没有问题不给更换，建议其再次前往售后服务中心检测，其表示检测不出怎么办，告知对售后的检测不满可以随时来电，正常解释三包，其表示在30天之内就出现问题，其诉求是要换机，表示之前一个月之内出现问题反馈给你们你们不给换，现在超过1个月了在次又出现了问题只能保修。"
T2x,内置程序,怎么主题下面没有显示返回标签呢？
T2x,内置程序,为什么这个vivo T2X看视频时点击屏幕倍速的震动关不了
T2x,内置程序,可以多出一些系统锁屏样式吗？只有两个太少了，我想把锁屏样式的时间移到下方都不行，默认的太挡壁纸了！另外息屏显示这个功能也加回来吧我还挺喜欢那个的
T2x,性能赛道,重新登录进去他不仅卡这了我已经过得关，而且怎么点都不管用
T2x,内置程序,手机是t2x 问题是系统音量太大 比如触摸提示 截图提示音  解锁提示音 都音量过大且不能调整
T2x,内置程序,用户名：仔仔用户地址：江西省上饶市横峰县城中加油站对面反馈内容：来访表示手机所有的软件没有声音，麦克风也没有用，为其排查，无法解决，建议前往服务中心，表示太远并且有疫情，不愿意前往，也不愿意寄修，给其抓取log，也不愿意操作，表示手机输入正确的锁屏密码还显示错误，告知为其反馈，未承诺回复时间，请协助处理，谢谢反馈平台：官网app反馈人：李青青
T2x,内置程序,本机怎样设置地震预警
T2x,内置程序,电话界面显示不合理，还不如我的y5S
T2x,性能赛道,我好不容易玩到第三章，你这一卡直接闪回第二章了
T2x,内置程序,用手机桌面搜索刷个短视频，怎么声音老是变小或者直接关没了呢？用你一个vivo手机真是用够了，本就没打算买手机，不得不又去买一个红米手机，真是令人失望
T2x,性能赛道,不知道为什么就卡了一样的，点不了，每次都这样，唉
T2x,内置程序,发不出信息是什么原因
T2x,内置程序,用户昵称：老彭回复时限：未承诺用户地址：/反馈内容：用户来访表示在线客服7838表示米家和水星安防APP的收不到消息通知，正常情况智能锁开门和关门都会有通知的，门锁报警提示也没有了，开启了自启动，白名单，高耗电无效，之前使用Z1机型也是一样的，使用华为荣耀就没有该问题，表示这个是系统问题，感觉使用问题可以做一期2小时的吐槽视频，客服后续转接7569处理，客服致歉安抚，表示为其抓取log，用户不愿意，也不愿前往服务中心，要求工程师联系，后续用户情绪激烈，客服表示为其反馈，其同意，后称负一屏太丑，只显示三个图片，多几个卡片就必须翻（http://gaia-mix-prd.vivo.com.cn/cso-service/20220910/2e73469bb9034fdd1eb0efbc877de984.jpg）；文件夹里面的图标太小了必须先点开文件夹才能点里面图标；应用推送消息即可，不需要在后台显示；原子组件设置在负一屏与可以更改形状，客服感谢建议。反馈平台：官网app反馈人：庞平湖
T2x,内置程序,信息图标不见怎么导出
T2x,内置程序,标题和内容字体太小看不清了
T2x,内置程序,进入变形器设置界面自动转入横屏
T2x,内置程序,用户手机出现卡顿问题，之前换过新机之后还是出现的同样的问题，已为其建立BPM工单，其不接受，表示3-5个工作日太久了，表示早知道需要3-5个工作日，为什么之前客服要拖延其的时间，是以为拖过去就能够解决问题吗？表示为什么不直接告知提供视频，直接让工程师为其解决，。表示不满，扬言12315，来电投诉希望公司协助处理。BPM工单：TSNXCN-2022091300110
T2x,内置程序,应该锁屏显示天气，上下可以随心移动图标，这样的基本功能都缺陷，其它功能性都不好用
T2x,内置程序,扫码识图功能，建议显示WiFi密码。扫出来识别出来全是隐藏的******
T2x,内置程序,手机充满电提示音如何关闭掉？
T2x,内置程序,桌面图标的字体怎么放大
T2x,内置程序,短信无法接收和发送，换了手机就可以
T2x,内置程序,已读之后怎么设置未读
T2x,内置程序,不喜欢原子图标，都没办法改回来
T2x,内置程序,为什么不能接收和发送信息
T2x,内置程序,怎么改变啊照片保存位置？
T2x,性能赛道,加载页面到98%就不动了一直加载不完
T2x,内置程序,我新换的手机短信发不出去，
T2x,内置程序,这个版本手机有没有投屏
T2x,性能赛道,机器出现打开摄像头卡，摄像头白屏的问题，于今天送修山东省淄博时沂源县售后检测，售后检测相机不聚焦，给其换机，机器购买两天就向购买点反馈机器问题，要求退机或者更换全套机器，烦请关注
T2x,内置程序,如何关闭全局搜索
T2x,性能赛道,购机不到一个月，老是死机，还会出现白屏的的情况，昨天去的朝阳区合生汇售后，检测说是没有问题，让其升级，对售后检测结果不认可，要求换手机，来电要求公司协助处理。
T2x,内置程序,不知道怎么回事，无法发送文件了
T2x,内置程序,不要自动熄屏，我看今日头条，经常自动熄屏，请把自动熄屏关了，还有就是按了开机键出现的是锁屏，我喜欢按开机键直接进入桌面或则程序。
T2x,性能赛道,垃圾机，卡死了
T2x,内置程序,指南针怎么没有，海拔高度，智慧视觉怎么扫描身份证
T2x,内置程序,字体太小了，看不清楚，很费劲。。。。
T2x,内置程序,我现在使用的手机型号是vivo T2 X，使用了近两个月，有3次手机莫名的静音状态，漏接很多电话，后来发现是误触造成。在按音量键时音量条的下方有一个快捷图标，就是这个快捷图标造成的，我几个同事也多次发生这种现象，可见不是个例，希望贵公司的相关部门能办那个图标去掉，避免再次发生上述情况。谢谢！
T2x,性能赛道,打游戏掉帧卡顿
T2x,内置程序,设置了骚扰拦截  为什么还能一直给我发短信
T2x,续航赛道,这个系统版本待机耗电很快
T2x,内置程序,不是支持144Hz吗?为什么我开了开发者选项，显示只有60Hz 手机vivoT2x
T2x,性能赛道,皮肤出的比什么都快，炸队友的真感人
T2x,性能赛道,新买的t2x才两个月，就开始卡顿黑屏了。
T2x,性能赛道,钉子户当不了，这个型号配置最高才8G＋256，后续软件越做越大不够
T2x,性能赛道,我不玩游戏，游戏表现不知道，你可以去看测评，反正就是天玑1200的水平，先说电池早上7：30用到晚上10点睡觉，后台QQ和微信开启自启动其他全关闭，NFC一直开启，蓝牙也是因为我还用了OPPO手环，刷新显示没有强制144，我开的自动，整体来说，系统很好用，很方便，流畅，目前还没遇到卡顿情况。最后就是发热情况，遇到过，也不常遇到。我认为T2X缺点就是拍照不行（定位就不是拍照手机），单扬声器声音大，音质一般。
T2x,性能赛道,打游戏掉帧卡顿
T2x,性能赛道,正常使用的情况下即使是2G运存都不会卡爆的，要求太高了
T2x,内置程序,短信发送不出去不知道问题出在哪里
T2x,性能赛道,6g运存不建议入手，因为真的会很卡，所以最低8g运存起步，再一个如果不介意pdd的话可以看看百亿补贴，1200多就能入手了
T2x,内置程序,顶部通知栏太窄，字体和图标显示太小了，能不能把它稍微往下调宽一点？或者设置一个调节按钮，可宽可窄由用户自己调节。
T2x,内置程序,后置拍照时放大倍镜图片，视频模糊
T2x,内置程序,能把自带的识曲功能改成可选择的吗
T2x,续航赛道,电池还行，系统优化的不够，但是也算凑合，中规中矩吧
T2x,内置程序,原子隐私系统能不能把软件进入？
T2x,性能赛道,游戏掉针卡顿，玩着不流畅，技能不跟手
T2x,性能赛道,后盖塑料带塑料壳容易有划痕 打游戏wifi断流烦死
T2x,内置程序,晚上23:09分，在英雄联盟中点击小窗口短信，看完短信返回到英雄联盟时，处于黑屏状态，点击桌面也会点开其它应用，也不能切换状态栏。持续了5分钟还是那样子，按下关机键锁屏，再打开屏幕，黑屏状态消失。
T2x,内置程序,vivo t2x  nfc刷地铁怎么绑定健康码
T2x,性能赛道,最新系统掉电快，启动软件停顿一下，划动有阻尼感
T2x,性能赛道,系统没优化好；之前我用摩托也断触；尤其玩游戏；后来更新就没有了。等待更新吧
T2x,内置程序,更换 锁屏样式
T2x,内置程序,全开了，来电来信息闪烁灯不亮
T2x,性能赛道,T2X更新到最新的系统12.0.10.5，看今日头条的小视频时，会出现触摸没反应的情况；另外请求优化相机拍照，主要是光线稍暗时，预览和实际成片差距有点大，其次逆光和拍摄深色时，中心焦点处出现红色圆形斑块。
T2x,内置程序,通知栏不显示蓝牙图标，导致不知道打开状态，非常费电~
T2x,性能赛道,续航很不错。日常使用卡顿有一点。毕竟定位在这里，比不上旗舰机。具体看截屏，但是续航仅限于截屏中的版本。升级了新系统版本续航就相当于一个5000毫安的电池。
T2x,性能赛道,和平精英什么时候适配90帧掉帧有点严重啊！
T2x,内置程序,你是不是锁定桌面了？
T2x,性能赛道,一直闪退进不去是咋回事？我新买的手机，是手机问题还是APP问题？希望给个反馈
T2x,性能赛道,打游戏好掉帧，不止一两次了，有的时候就算后台清完了还掉帧，希望能看一下
T2x,性能赛道,T2x系统最新版进入软件划动有阻尼感，启动软件感觉慢一拍，待机耗电快，抖音快手强制锁定60
T2x,性能赛道,和平精英不支持90帧率
T2x,内置程序,更新了系统应用广告多了，网络还是不行，屏幕跳屏也没解决，除了电池感觉一无是处
T2x,性能赛道,VivoT2x 要不要升级系统啊？打游戏偶尔会断触
T2x,性能赛道,我买了现在可后悔死了，屏幕断触，有时候快手卡，有别的选择尽量别买这个
T2x,内置程序,我的t2x在解锁后会出现时长1s到2s的花屏现象。上次因为这个问题已经以旧换新了，现在新手机还是这样，重启没用，问了客服让我升级系统，还是没用。是不是vivo用的回收屏就这样？有没有人跟我一样
T2x,续航赛道,待机耗电快，用起来还行
T2x,性能赛道,打王者卡
T2x,性能赛道,你们好！我的手机买了四个月了，每次打电话超过几分钟就开始出现卡顿现象，偶尔还会在我没有碰手机自动跳的情况
T2x,内置程序,进入路由器管理界面（任意浏览器输入：192.168.0.1）未修改前大部分登录密码为：123456或者admin将2.4Gwlan或者5Gwlan频段模式设置为穿墙模式
T2x,性能赛道,有谁的同款手机出现过这样的问题，就是5G用着突然会没有信号，掉回4G，过会又有5G信号了，但是我用手机自带查找周围5g信号覆盖范围，5G信号没有问题，我另一个红米也是天机处理器都没出现这种信号跳来跳去的情况，我有两张卡一张联通，一张电信，我一直用电信开5G，起初我以为是电信的问题，但在电信5G没信号时，我切换到联通，一开始5G显示不到一分钟的样子又变回4G，我现在是弄不清是手机问题，还是运营商基站问题了，这种情况影响到我玩王者了，玩着玩着突然间卡顿，以为是系统安排，然而看到的是5G掉到4G了，而且这种情况也不是很频繁，但在同一个地方，每天都有，新手机是国庆到手的，不清楚有没有这个原因导致基站负载信号不稳定
T2x,性能赛道,哥们，你这想法有点问题啊。升级8GB就多多两百块钱，已经很有性价比了。毕竟手机至少也要用个一两年，你想想便宜了两百块钱，导致你两年时间用着都卡，而且有时出门在外有急事用手机如果因为少这2g运存手机卡了耽误了事情到时候就后悔不该贪这小便宜了
T2x,性能赛道,设备打游戏反应慢卡顿掉帧
T2x,性能赛道,天玑功耗好点，1080性能好点
T2x,性能赛道,"t2x有点卡啊最近,而且有时候触摸也不太灵敏；有时候点几次都没反应，大家没有这个问题吗？还有拍照预览的时候为啥那么模糊？要怎么设置吗？拍出来倒是不错。毕竟价格摆在这里，也不是主打拍照"
T2x,内置程序,所有的app里面长按快进都有振动，把设置里所有振动，声音关了也没用手机型号是vivo t2x
T2x,性能赛道,这次更新完系统后，手机变卡了，特别是同时用微信打视频时，在打开其它APP，立马都变卡了，滑屏幕，好几秒后才会反应过来。
T2x,内置程序,T2x手机每次打开优酷快应用自动跳出广告，是不是有毒啊，vivo现在这样赚钱了？
T2x,内置程序,我的也是这样，有时候玩游戏技能点不出来，拍照预览也很模糊，拍出来的照片却能清晰很多，还有就是一发热就卡，打游戏一充上电立马就会掉帧
T2x,内置程序,短信发送不成功，发不出去。
T2x,内置程序,在系统自带的应用市场APP中打字，在键盘中不能够显示备选字
T2x,续航赛道,这些都关了，为什么还在后台耗电？
T2x,性能赛道,我给家里人买的vivo t2x ，出厂都适配90帧了
T2x,内置程序,有没有随时间天气变化壁纸随着发生变化的主题啊？请求推荐一下啊？刚买了t2x，想换换主题壁纸，看见光遇不错，但是t2x好像没有这个行为壁纸，只有开花的动态壁纸
T2x,内置程序,怎么调大字体啊啊啊啊啊啊
T2x,性能赛道,VivoT2x和平精英可以开90帧吗？
T2x,内置程序,输入法进入应用商店无法使用
T2x,内置程序,电话点开怎么没拨号的图标？
T2x,内置程序,我遇到过切换小窗黑屏卡死
T2x,内置程序,希望在过年或特定节日可以送英雄或皮肤，不然零氪玩家太吃亏了，我以前一个号，玩了几年3或4个皮肤，基本只是新手签到领的，皮肤碎片太难拿，只能半年兑换一个，但连史诗皮肤也摸不到，但我确实喜欢这款游戏
T2x,性能赛道,和平精英特别卡王者荣耀特别卡
T2x,内置程序,是不是快应用？
T2x,发热赛道,用户昵称：归嘉福（服务中心地址）：深圳市光明区松柏踪46道客户服务中心反馈内容：用户来访表示其的手机发热，为其排查异常检测之后其不认可，引导其前往服务中心检测，其表示已经去服务中心检测了，工作人员表示25度空气内屏幕亮起来，发热正常，其表示使用i管家检测手机是发热的，给其正常解释手机在使用过程中是会产生一定的热量，其表示之前同机型的手机为什么不发热，一样的地方另外一个手机还能玩游戏都不发热，这个只玩微信都发热，安抚致歉，告知为其反馈，其同意，其表示要求今天联系其处理，其表示过了今天就买不到延保了，要求看换一个手机，告知为其备注，麻烦跟进处理，谢谢。反馈平台：官网app反馈人：邓江秀
T2x,性能赛道,打游戏卡顿掉帧现象闪退真的服了问题真的多什么时候能修复啊？干什么吃的
T2x,内置程序,数据流量;imei码：*** 1、问题现象及复现步骤：数据不能上网 2、问题出现地点（*市*区*路几号楼或者*大夏）：海南海口 3、SIM卡组合：移动 4、数据卡是哪张卡：移动 5、出问题时驻留的网络（5G/HD、4G/HD、4G、4G+、3G、2G）：4G 6、系统版本号：PD2188LA 12.0.10.5 7、问题出现次数：必现 8、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）9、log提取码10、服务码（没有就不填写）11、抓Log时问题出现时间点(精确到分)12、是否有承诺回复（承诺回复需备注回复时间）：节后3-5个工作
T2x,内置程序,这个和手机厂商有啥关系？你用的毒瘤app哪个没有广告
T2x,内置程序,imei码：*** 1、问题现象及复现步骤：下载的第一次打开会卡很久才会进入。 2、系统版本号：2188k—a—12.0.10.5 3、问题录屏/截图/文件是否提供（已和Log一起上传、单独提供则添加到附件）4、Log提取码5、服务码（没有就不填写）6、抓Log时问题出现时间点(精确到分)7、是否有承诺回复（承诺回复需备注回复时间） 慢卡顿现象判断 卡：界面静止，点击滑动无作用。Home键、上滑、电源键、下拉状态栏有作用，属于应用自身功能逻辑异常。 慢：手机能动、只不过比较慢而已，没用户预想的那么快。 顿：手机能动，动画过渡不连续，断断续续，瞬间卡瞬间恢复，即不流畅。
T2x,内置程序,服务政策咨询;机器保修多久，保修一年，全国联保 *** 手机 T2x全网通 雾蓝 PD2188KA 256G+8G 激活时间：2022-10-07 性能模式是什么 
T2x,性能赛道,T2Xcpu实时数据666
T2x,性能赛道,玩游戏不流畅老是掉吊针。
T2x,性能赛道,优化vivot2x使用体验，游戏和日常使用不丝滑
T2x,续航赛道,你好！咱这手机耗电怎么那么快啊，我旧手机都可以用两天，咱这新机而且别旧手机电池大，怎么感觉跟用了两年的手机一样啊
T2x,性能赛道,我是vivo8年用户，下面我来分享下。在这国庆假期中，我最大的收获，是来自对vivo手机使用的新体验，学会的新技巧。先说说体验：一、①告别用电量焦虑。国庆期间，给家里长辈们挑选了5块vivot2x手机。主要是看中了他的超高性价比，大容量电池，超高刷新率，以及护眼等功能。可以说，搭配44w的快充，续航，使用，拍视频一整天，直接没问题。②主力机是iQOO10，120w极速充电，让我无论在什么地方，10分钟充满不是问题。这两点体验，让我明白一个道理——①不管工作，还是学习，要想有好的体验，顺畅，安心，绝对的实力决定一切。②要么充电速度做到极致，要么电池容量做到极致，这给我以后的工作与学习等提供了思路：方法并不是一种，有时候反其道而行，也能达到目的。二、说说新技巧。①文档方面。之前用过iQOOPro系列与iQOO3，有自己单独的智慧按键，识图等很方便。但此后，与电源键合并。用起来有些麻烦。但是，只要我们练习好，也可以顺畅使用。同时，我们通过相册，图片更多里面，可以直接找文档。②拍照。iQOO10各方面拍照都能打，特别是20倍变焦，人像等。如果我们找角度还不行，可以自己设置，打开九宫格等功能，进行辅助。一样会取得很好的拍照效果。这两点给我的启示——做好基本功，永远是基础。我们可以记不住，但是通过“好记性不如烂笔头”的道理，善于利用vivo原子笔记，vivo智慧识图，vivo语音等功能，会帮助我们生活，工作，学习，打开新的道路。三、总结。国庆假期，我利用以上功能，产品的性能，带家人渡过了很美好的假期。比如利用电池性能，让全家更加简便出行，彻底告别手机电量焦虑；利用旗舰拍照，我们更是拍出了满意的照片，记录了假期时刻。后期，我将会好好利用，原子功能，发挥vivo办公性能，让工作变得更方便，便捷。最后祝福vivo越来做好，售后做的越来越好。
T2x,性能赛道,你看中哪方面？为了续航可以冲这款，有快充，有高刷，参数对标865
T2x,内置程序,把快应用关了就没事，那个东西真烦人
T2x,内置程序,用户昵称：郗芳用户地址：江苏省苏州市相城区高铁金科大酒店反馈内容：用户来访反馈微信的信息老是无故静音，听着别人发的语音，结果听完语音，别人在来信息就是静音了，听完后，不是在同一个沟通界面也是一样，正常小米手机系统不会存在这个问题，微信和系统都是最新的版本，引导重启其觉得每次重启太麻烦，还原不接受，引导前往服务中心，其表示有疫情，抓取log，问题也不好复现，还表示输入法使用也不方便，软件来消息查看也不方便，来消息引导设置控制中心和通知中心分开显示后解决了，又提出小米手机进入屏幕保护密码的界面多大气，vivo的解锁页面很小气。再次描述手机输入法不方便，没有直接的复制粘贴功能，建议其在对话框长按粘贴，其表示就是不顺手。感谢其的宝贵建议。麻烦协助处理，谢谢。反馈平台：官网app反馈人：张林
T2x,内置程序, Vivo T 2X触屏提示音能不能变一下清脆一点的，或者让我们自己选。这个只能打开关闭，声音难听了点。习惯了触屏有声音，这个新机听着脑瓜疼。
T2x,内置程序,语音对话翻译不准确，英文翻译成中文意思不对
T2x,内置程序,手机解锁后经常出现花屏，你们有没有这种情况
T2x,内置程序,T2X像素;IQOO Z6电池;触感反馈;关闭触感反馈;息屏震动;解锁屏幕时手机会振动一下;IQOO9pro;原子笔记;移动设备端原子笔记;打开原子笔记;原子笔记是什么;如何查看原子笔记字数;充电麻手;iqoo9pro屏幕;E5超感自由屏;pad游戏帧数;221009-***产品包装盒塑封膜看着很脏;产品包装盒塑封膜看着很脏;产品包装盒塑封膜看着很脏;氮化镓;neo6se;neo6se尺寸;iqoo z6支持的频段;iQOO Z6支持的网络;支持谷歌框架吗;对着屏幕拍有条纹;拍摄屏幕有条纹;哪些机型支持低亮度防屏闪;设置低亮度防屏闪;谷歌框架;产品包装盒塑封膜看着很脏;产品包装盒塑封膜看着很脏;IQOO9pro充电时间;氮化镓;自研芯片;通话的时候没有声音;打电话听不到对方的声音;HIFI;5G游戏天线;iqoo9pro像素;开启5G;iqoo9pro处理器;Y72T电池;处理器是什么;iqoo u5x;Y72T
T2x,内置程序,开通厦门公交e通卡为什么要收费？
T2x,内置程序,手机锁屏密码忘记，但指纹尚在使用
T2x,性能赛道,确实，好像还比不上S系列的天玑710，醉了
T2x,内置程序,用户昵称：vivo596***7751用户地址：河北省保定市高阳县庞佐村售后地址：石家庄市桥西区天佑家园9-2-301反馈内容：用户来访表示手机之前因为信号不好，寄修到服务中心维修，现在寄回之后出现屏幕触屏不灵敏、指纹解锁不灵敏的问题，为其正常排查引导还原用户不接受，引导服务中心其表示维修都耽误其好几天了，其觉得是维修出了问题，引导其具体可以咨询服务中心，其表示问服务中心他们也是推辞，安抚致歉，引导其寄修，其表示手机又发去再修不好呢，是不是又得来回折腾，其表示要换个新机，正常解释三包，其表示已经维修了，刚修回来就出问题，其还能相信谁，安抚致歉，告知为其反馈，麻烦跟进处理，谢谢反馈平台：官网app反馈人：邓江秀
T2x,内置程序,快应用搜不到咋办呀
T2x,内置程序,手机动态壁纸有毛病，需要改进，我才买了两个月的手机，不会是手机屏幕的毛病吧
T2x,性能赛道,为什么T2x没有可以打开第三方软件的高刷新率开关的功能？虽然这手机可以开高刷但是只支持系统自带的软件，其他第三方软件根本不行，我看到别的机型都有那个开了高刷然后可以自定义打开其他第三方软件高刷新率的开关，就T2x没有，我真的服了，官方自己说的144hz屏幕刷新率，但是又不支持其他软件，有屁用，真后悔买了这个手机
T2x,内置程序,今日头条app没有深色模式了
T2x,内置程序,日程能按照阴历阳历选择，能每年提醒。  日程能够永久保存，和云端同步。
T2x,性能赛道,只能说不稳定 有时候流畅 有时候卡的一批
T2x,性能赛道,为啥vivot2X打吃鸡不能开九十针
T2x,性能赛道,家园系统，大乱斗和寻宝无法加载，重启也没用
T2x,性能赛道,vivo t2x 用了一个礼拜还没有我以前的vivo z5x流畅，我想退货了
T2x,内置程序,短信有时能发出去，多时发不出去。
T2x,性能赛道, 如果有性能需求选择VIVO T2x 那个性能好一点
